idObraSocial;razonSocial;cuit;direccion
NULL;OSDE;30-12345678-0;Av. Santa Fe 1234
NULL;Swiss Medical;30-23456789-1;Av. Corrientes 567
NULL;Galeno;30-34567890-2;Av. Cabildo 678
NULL;Medifé;30-45678901-3;Av. Callao 901
NULL;Omint;30-56789012-4;Av. Libertador 2345
NULL;Sancor Salud;30-67890123-5;Av. Rivadavia 3456
NULL;Accord Salud;30-78901234-6;Av. Pueyrredón 5678
NULL;IOMA;30-89012345-7;Av. Córdoba 7890
NULL;Union Personal;30-90123456-8;Av. Juan B. Justo 1234
NULL;Prevención Salud;30-01234567-9;Av. San Martín 4567
NULL;Particular;NULL;NULL
